code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
F00.9,"Dementia in Alzheimer disease, unspecified","Demencija u Alzheimerovoj bolesti, neoznačena",Деменция при болезни Альцгеймера неуточненная (G30.9+),"Dementia in morbo Alzheimer, non specificata"
F01,Vascular dementia,Vaskularna demencija,Сосудистая деменция,Dementia vascularis
F01.0,Vascular dementia of acute onset,Akutna vaskularna demencija,Сосудистая деменция с острым началом,Dementia vascularis acuta
F01.1,Multi-infarct dementia,Demencija usled više infarkta,Мультиинфарктная деменция,Dementia multiinfarctiva
F01.2,Subcortical vascular dementia,Vaskularna demencija u potkori mozga,Подкорковая сосудистая деменция,Dementia vascularis subcorticalis
F01.3,Mixed cortical and subcortical vascular dementia,Vaskularna demencija u kori i potkori mozga,Смешанная корковая и подкорковая сосудистая деменция,"Dementia vascularis mixta, corticalis et subcorticalis"
F01.8,Other vascular dementia,Druga vaskularna demencija,Другая сосудистая деменция,Dementia vascularis alia
F01.9,"Vascular dementia, unspecified","Vaskularna demencija, neoznačena",Сосудистая деменция неуточненная,"Dementia vascularis, non specificata"
F02,Dementia in other diseases classified elsewhere,"Demencija u drugim bolestima, klasifikovanim na drugom mestu","Деменция при других болезнях, классифицированных в других рубриках","Dementia in morbis aliis, alibi classificatis"
F02.0,Dementia in Pick disease,Demencija u Pickovoj bolesti,Деменция при болезни Пика (G31.0+),Dementia in morbo Pick
F02.1,Dementia in Creutzfeldt-Jakob disease,Demencija u Creutzfeldt-Jakobovoj bolesti,Деменция при болезни Крейтцфельдта-Якоба (A81.0+),Dementia in morbo Creutzfeldt-Jakob
F02.2,Dementia in Huntington disease,Demencija u Huntingtonovoj bolesti,Деменция при болезни Гентингтона (G10+),Dementia in morbo Huntington
F02.3,Dementia in Parkinson disease,Demencija u Parkinsonovoj bolesti,Деменция при болезни Паркинсона (G20+),Dementia in morbo Parkinson
F02.4,Dementia in human immunodeficiency virus [HIV] disease,Demencija u AIDS bolesti,"Деменция при болезни, вызванной вирусом иммунодефицита человека [ВИЧ] (B22.0+)",Dementia in morbo AIDS
F02.8,Dementia in other specified diseases classified elsewhere,"Demencija u drugim označenim bolestima, klasifikovanim na drugom mestu","Деменция при других уточненных болезнях, классифицированных в других рубриках","Dementia in morbis aliis specificatis, alibi classificatis"
F03,Unspecified dementia,"Demencija, neoznačena",Деменция неуточненная,Dementia non specificata
F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances","Organski sindrom nesećanja, neizazvan upotrebom alkohola i psihoaktivnih supstanci","Органический амнестический синдром, не вызванный алкоголем или другими психоактивными веществами","Syndroma amnesticum organicum, non propter usum alcoholis et substantiarum psychoactivarum aliarum"
F05,"Delirium, not induced by alcohol and other psychoactive substances","Delirijum, neizazvan upotrebom alkohola i psihoaktivnih supstanci","Делирий, не вызванный алкоголем или другими психоактивными веществами","Delirium, non propter usum alcoholis et substantiarum psychoactivarum aliarum"
F05.0,"Delirium not superimposed on dementia, so described",Delirijum koji nije superponiran na demenciju,"Делирий не на фоне деменции, так описанный",Delirium sine dementia
F05.1,Delirium superimposed on dementia,Delirijum superponiran na demenciju,Делирий на фоне деменции,"Delirium superpositum, sed intradementium"
F05.8,Other delirium,Drugi delirijum,Другой делирий,Delirium aliud
F05.9,"Delirium, unspecified","Delirijum, neoznačen",Делирий неуточненный,"Delirium, non specificatum"
F06,Other mental disorders due to brain damage and dysfunction and to physical disease,Drugi duševni poremećaji uzrokovani oštećenjem i disfunkcijom mozga i telesnom bolešću,"Другие психические расстройства, обусловленные повреждением и дисфункцией головного мозга или соматической болезнью","Disordines mentales propter laesionem et dysfunctionem cerebri sive morbum corporalem, alii"
F06.0,Organic hallucinosis,Organska halucinoza,Органический галлюциноз,Hallucinosis organica
F06.1,Organic catatonic disorder,Organski katatoni poremećaj,Органическое кататоническое состояние,Disordo catatonicus organicus
F06.2,Organic delusional [schizophrenia-like] disorder,Organski sumanuti poremaćaj (sličan shizofreniji),Органическое бредовое [шизофреноподобное] расстройство,Disordo paranoides organicus (schizophreniae similis)
F06.3,Organic mood [affective] disorders,Organski poremaćaji raspoloženja (afekata),Органические расстройства настроения [аффективные],Disordines thymiaci [affectivi organici]
F06.4,Organic anxiety disorder,Organski anksiozni poremaćaj,Органическое тревожное расстройство,Disordo anxioticus organicus
F06.5,Organic dissociative disorder,Organski disocijativni poremećaj,Органическое диссоциативное расстройство,Disordo dissociativus organicus
F06.6,Organic emotionally labile [asthenic] disorder,Organski emocionalni poremećaj (astenički),Органическое эмоционально лабильное [астеническое] расстройство,Disordo emotionalis organicus [asthenicus]
F06.7,Mild cognitive disorder,Blagi kognitivni poremećaj,Легкое когнитивное расстройство,Disordo cognitivus gradus minoris
F06.8,Other specified mental disorders due to brain damage and dysfunction and to physical disease,Drugi označeni duševni poremećaji uzrokovani oštećenjem i disfunkcijom mozga i bolešću tela,"Другие уточненные психические расстройства, обусловленные повреждением и дисфункцией головного мозга или соматической болезнью","Disordines mentales propter laesionem et dysfunctionem cerebri et morbum corporalem alii, specificati"
F06.9,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,"Duševni poremećaj uzrokovan oštećenjem i disfunkcijom mozga i bolešću tela, neoznačen","Психическое расстройство, обусловленное повреждением и дисфункцией головного мозга или соматической болезнью, неуточненное","Disordines mentales propter laesionem et dysfunctionem cerebri et morbum corporalem, non specificatus"
F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction","Poremećaji ličnosti i poremećaji ponašanja uzrokovani bolešću, oštećenjem i disfunkcijom mozga","Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга","Disordines personae et disordines morum propter morbum, laesionem et dysfunctionem cerebri"
F07.0,Organic personality disorder,Organski poremećaji ličnosti,Расстройство личности органической этиологии,Disordo personae organicus
F07.1,Postencephalitic syndrome,Sindrom posle zapaljenja mozga,Постэнцефалитный синдром,Syndroma post encephalitidem
F07.2,Postconcussional syndrome,Sindrom posle potresa mozga,Постконтузионный синдром,Syndroma post commotionem cerebri
F07.8,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction","Drugi organski poremećaji ličnosti i poremećaji ponašanja uzrokovani bolešću, oštećenjem i disfunkcijom mozga","Другие органические расстройства личности и поведения, обусловленные болезнью, травмой и дисфункцией головного мозга","Disordines personae et disordines morum organici propter morbum, laesionem et dysfunctionem cerebri alii"
F07.9,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction","Organski poremećaj ličnosti i poremećaj ponašanja, uzrokovan bolešću, oštećenjem i disfunkcijom mozga, neoznačen","Органическое расстройство личности и поведения, обусловленное болезнью, повреждением или дисфункцией головного мозга, неуточненное","Disordo personae et disordo morum organicus propter morbum, laesionem et dysfunctionem cerebri, non specificatus"
